Route,DTYPE,N,Total(s),Iters,ms/iter,config_path
CPU-Advanced,float32,64,5.060000,300,16.866667,results/2025-08-18_21-56-18_advanced_f32_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float32,64,1.230000,300,4.100000,results/2025-08-18_21-56-34_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,64,1.110000,300,3.700000,results/2025-08-18_22-44-34_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
unknown,float32,64,61.620000,300,205.400000,results/2025-08-18_21-54-43_baseline_f32_grid3_noiseN/A/config_summary.txt
CPU-Advanced,float64,64,4.820000,300,16.066667,results/2025-08-18_22-06-54_advanced_f64_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float64,64,1.110000,300,3.700000,results/2025-08-18_22-07-06_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
GPU-Advanced,float64,64,1.190000,300,3.966667,results/2025-08-18_22-44-54_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
unknown,float64,64,61.200000,300,204.000000,results/2025-08-18_22-05-46_baseline_f64_grid3_noiseN/A/config_summary.txt
CPU-Advanced,float32,128,19.880000,300,66.266667,results/2025-08-18_21-59-00_advanced_f32_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float32,128,1.840000,300,6.133333,results/2025-08-18_21-59-32_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,128,1.870000,300,6.233333,results/2025-08-18_22-44-37_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
unknown,float32,128,93.900000,300,313.000000,results/2025-08-18_21-56-53_baseline_f32_grid3_noiseN/A/config_summary.txt
CPU-Advanced,float64,128,18.760000,300,62.533333,results/2025-08-18_22-11-30_advanced_f64_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float64,128,1.920000,300,6.400000,results/2025-08-18_22-11-53_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
GPU-Advanced,float64,128,1.850000,300,6.166667,results/2025-08-18_22-44-57_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
unknown,float64,128,92.660000,300,308.866667,results/2025-08-18_22-07-27_baseline_f64_grid3_noiseN/A/config_summary.txt
CPU-Advanced,float32,256,81.250000,300,270.833333,results/2025-08-18_22-03-47_advanced_f32_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.690000,300,15.633333,results/2025-08-18_21-43-07_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.670000,300,15.566667,results/2025-08-18_22-05-14_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.670000,300,15.566667,results/2025-08-18_22-26-47_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.730000,300,15.766667,results/2025-08-18_22-27-30_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.870000,300,16.233333,results/2025-08-18_22-43-45_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.880000,300,16.266667,results/2025-08-18_22-44-41_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
GPU-Advanced,float32,256,4.920000,300,16.400000,results/2025-08-18_22-46-40_advanced_gpu_grid3_dtypefloat32_noiseN/A/config_summary.txt
unknown,float32,256,225.930000,300,753.100000,results/2025-08-18_21-59-54_baseline_f32_grid3_noiseN/A/config_summary.txt
CPU-Advanced,float64,256,73.990000,300,246.633333,results/2025-08-18_22-16-00_advanced_f64_grid3_noiseN/A/config_summary.txt
GPU-Advanced,float64,256,4.810000,300,16.033333,results/2025-08-18_22-17-19_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
GPU-Advanced,float64,256,5.000000,300,16.666667,results/2025-08-18_22-45-01_advanced_gpu_grid3_dtypefloat64_noiseN/A/config_summary.txt
unknown,float64,256,218.780000,300,729.266667,results/2025-08-18_22-12-13_baseline_f64_grid3_noiseN/A/config_summary.txt
